owner,campaigns,lfp_campaigns
0EVjavHoARcIvvTpheIPn0shUyF3,1,0
0EXEsFHCjcPMRgVIsrlwGxpCGPp2,1,0
0EeTmlhsJvgaAvTVZnw1JjyFXIU2,2,0
0EhXn46VMfXepyoDT6KknNQGmll1,1,0
0Ejajc9QdRbdZHHsCtzmdyU0Ov22,1,0
0Ekch8CVpSMj8oAiPeG4EWWm1kc2,1,0
0Em9hRch00MIWl6mmUbpCgClQW73,1,0
0EmRPoou0ResXLGXTjqFXFNEMu93,1,0
0EmbPyclBVTUcV0h6kYFYClZJNH3,1,0
0EnHLVpvAMXnWR1svImZmBfla6F2,1,0
0EnLsf6XaWZ6NuTZa3IpzIE6hgH2,3,0
0Eo2OMCPtQaiRhmEACPgUIHAcWl2,3,0
0EoCQd2RfmQHnLHt4BWq5oaMlT73,1,1
0EoRfXEH5rNsWtUlgV1R0ZvSoAF3,1,0
0EoXbx900adVdCZLYKs0KUBUF3D3,11,3
0EzqXgZ68AXsGWRGpAXYFGFii4I3,1,0
0F20DNFgsZc2TWzhb8EkmythAaT2,3,0
0F35NMyX6mVrTvbAMHxp3LJxtNx1,1,0
0F3G3eTH6lOfxU2MCM4hzDZFEjt1,1,0
0F5IFZ43JucxNV89zSUyqjHN6Sa2,1,0
0F7wl3jiZhPNVuRqWzRjrWqL2Y32,2,0
0FCNnF1oSnSxYF7jyBTY5pb2HF72,1,0
0FEVztfsvNTSZ7RhbaGcQqXa3If2,1,0
0FEzoPx8hdN1rMbVVTBf24wD6EI3,1,0
0FNINrZMCrNalIICBikfvB6PKSi1,1,0
0FSzKqwuuoOYWtL4L6GCKdWvKaM2,1,0
0FVjD0N1GwSEfKUkVTtJGK7oFsr2,2,0
0FWcEDa90rUlZRIibc48hXPKkCB2,1,0
0FX0CpDh7XNKIPxku6jHwGHTwB02,28,17
0FYHmmhzo1RkXH8ysQwowHKCVTS2,2,0
0FfEM5MvEKZALAw83NH3MchLdIy2,1,0
0Fg6anQswoOXPoiJ2s4EdrZ4XCd2,1,0
0FtvmDZ3rgVe8KkaC0VdJFtJkLk1,2,0
0FvSMqkqWJh5I6l2yo6WExUEIeg1,1,0
0FxFtCaLjPdtRGzEQB6fm07NUhc2,2,0
0FycYXRcIiSWtvdthgsvENvP3Dy2,2,0
0Fz9ZgvWQ3Pd3EBFA1XA4KQCDQo2,1,0
0G0BZrT2eYgTDCOGAjuUjgwUOSt1,1,0
0G58XfHagFTMamPu2lnHXymckwh2,2,1
0G65Kbrj6KaVmxGsR0Emt5WhqGz2,2,0
0GBRzSLz1uPKc4GHCptVrXnhF8h2,1,0
0GEfBfXF01cOFFqjCwBitJLZE9G2,1,0
0GGZYXtELkO21ASDNhq5UrJJcYB2,1,0
0GLETevRfYTGCKuqdCZnt4RCh2E2,4,0
0GM1YApElRarawUA3Ff3E6JAZbf2,1,0
0GNvBxBFqDNe0f4VIGOaGi7zTjF3,2,0
0GRU4yg2CiUocxvmWqKhXnriDOr2,3,0
0GXdLgMFhcaNro9XyNfPgFkq0Bo2,1,0
0Gc7xTMPyNXAJhwAbSDIg5L3jDp2,1,0
0GeCczJ5k0PbmapaK8OB3bWsqJj2,2,1
0GeLqAZudweFuGFBTAIseRA8MhD3,2,0
0GeNZuwqn6hZUkZdJo4e1LtPGda2,2,0
0Gfk4YVkVFVmGLTkW4DxSyosUO03,1,0
0GjcDjnQvTbXQ1Y8eiSm9qWfv8I2,2,0
0GrUN4j7ZDWU7McifzcPVEhTgRM2,1,0
0GscosKXEkRZq9U22LXK5YojLXy1,2,0
0GwdquLuPKQ0XZ6WT5cF5hhkX2e2,2,0
0H0KMyGwjpcZ0vYv41Fgt7gpu332,2,0
0H1q61GauheSxOHqrJNqL7oxpH42,1,0
0H41afmWZ5QpGAflk2ZLzipFM4c2,1,0
0H4NgAARB9VNtCvxHgmQ7EOZoRp2,1,0
0H5lvkXyvvTUdvDJvcyuxTZ705F2,1,0
0H8NE2qiM3gF4JekRUVdSn1GkUc2,1,0
0H8Pb2xVLkXHhcJlqwrlTTirpbL2,1,0
0HBZ4zDW59XmJSIpOcb1vEjfRmo1,1,0
0HCZHfT2ZeZlxiojTFBgiOOU6WA2,11,5
0HJE16ZZtTU8s2BNGTih6lDIOpm1,5,0
0HK2GhrJe8XvU8jX8akWSCwyCMp1,2,0
0HKMXoxccFRARN4SDy7RlfXLHHA2,1,0
0HKmuUFRHzQZt7qtEOwSZqo8WpC3,1,0
0HLwwmhiJQQvU9wzz27VzfwMrt13,1,0
0HQV4PUTp7aELhcWfb0nAK9bLjn1,1,0
